Id,Price
4567,163566.4348750109
5925,127918.38346902427
960,135686.62020987613
3848,98502.55170522467
746,177934.96736535124
868,342860.85595184396
672,96923.21468420517
2471,214264.42415196405
4510,122250.22026164542
8354,237894.81804005327
6393,185231.59999135262
13270,221765.93150796904
5250,309030.6190453228
16751,169058.30339820197
11404,140993.9573792297
10588,340346.07224183076
14925,196538.4282516526
6791,214476.72084598514
16097,190840.71152730024
16428,379916.4873777852
6945,332369.9074259812
3190,183926.27572254435
15709,454845.03459888074
13155,167927.569300392
7675,202304.79833329053
14686,246118.82655142405
609,151367.60104368537
11155,175573.94438895563
10869,197505.781903384
15742,192370.32738892434
9245,190502.77186586248
3340,162783.18187327604
2359,299845.150882331
8070,203241.86374138214
13707,125280.90055623693
16079,280939.89635812986
15937,300662.1021802907
14090,192549.0465378239
9008,229899.3388346143
16384,173124.49615352025
11657,236069.00226046596
13151,163864.05797086746
8990,149638.46261833684
11857,182604.43387049154
1565,160607.53909222383
8174,94022.08587280742
9247,247884.83824559877
10478,209215.9372335235
15509,152877.25998749575
8306,248521.07739008192
6642,182036.69683647426
7472,219208.87473237616
15989,128344.25661880635
13682,129607.74046976055
163,248099.7175435765
7076,181006.05602191805
7478,303315.03137825977
3029,183291.65079312606
1814,143328.51773597221
10057,129377.42279585381
15100,193359.4203938349
12694,211201.62828859728
6291,182700.4854319277
12603,173659.07520742915
3218,244757.3838492958
13456,124198.9640850539
10170,240225.08756716902
4530,153832.77761316672
13329,161090.02709973452
4820,146361.3410534086
10896,173091.94798368993
13416,127464.76231434889
2701,226587.14700409045
11265,337426.25058134017
9189,272293.9183951635
1858,184773.47614742376
14536,236715.50083779558
6199,299067.6585737084
14730,146223.77644302847
7510,257085.6833469778
15505,158794.66601167308
7446,192951.35911947477
14016,194479.28748878025
14113,101095.35611599385
8721,293183.7245119413
6193,295660.2676338439
5717,187990.46764286212
5427,315897.9688633148
9520,494874.42800694605
6869,96460.12715430968
1658,148018.30997547216
6639,231032.6831227105
6283,194545.22807337396
6257,121478.39558451343
15235,172268.15537209035
902,225669.75135573398
8932,187123.52588960726
16469,345356.590455621
2825,278762.1937323379
6450,467795.8461642398
11366,190285.66570313144
3801,387812.81187998154
11385,186435.15428233607
1079,198874.41618616477
